greedy_simpath_t0.1_features,greedy_simpath_t0.1_spread,greedy_simpath_t0.1_time
0,97.2335,0
448,98.6787,0.0265868
29458819,99.5071,0.0532745
69273673,100.134,0.0815051
9041277,100.76,0.110908
1513304,101.387,0.13893
28836942,102.014,0.166205
1711,102.64,0.193586
48970972,103.267,0.22073
64831419,103.893,0.247988
11305909,104.394,0.275647
2295629,104.768,0.302762
90983046,105.142,0.329641
23390361,105.516,0.357451
20894983,105.889,0.38431
27045802,106.263,0.411145
25388481,106.637,0.438285
8779055,107.01,0.465471
34161355,107.384,0.492616
32358583,107.758,0.519618
1016424,108.132,0.546586
84875903,108.471,0.573557
60929052,108.798,0.601454
29773549,109.122,0.630583
1180,109.446,0.660959
7921086,109.859,0.690539
258,110.181,0.71954
8828301,110.594,0.748787
429039,110.879,0.778364
598398,111.151,0.807846
1991,111.584,0.837126
40835481,111.835,0.867265
932,112.078,0.897403
27985352,112.297,0.929658
41588298,112.525,0.961601
630211,112.752,0.992083
58802848,112.978,1.02496
39482285,113.205,1.05578
563289,113.431,1.08699
18403220,113.627,1.11821
18694853,113.824,1.15098
30767675,114.02,1.18432
6904,114.217,1.21514
20844846,114.413,1.24626
496248,114.61,1.27938
267352,114.807,1.31224
28481833,115.004,1.34378
74005614,115.202,1.37675
33217169,115.399,1.40805
606161,115.594,1.44063
25362950,115.794,1.47605
7602563,116.007,1.51201
11437387,116.187,1.54755
45491419,116.368,1.58551
9040121,116.548,1.62042
11147079,116.729,1.65734
17557916,116.909,1.69361
23108006,117.198,1.72971
4717720,117.366,1.7674
57321641,117.526,1.80414
13315670,117.681,1.83927
