k-value,mutation-rate,trials,initialization,fitness,success-rate,sim-time,mutations,mean-degree,mean-p
250,0.2,10,top-degree,p-fitness,0.756,0.275198,0,54.6908,0.410236
250,0.2,10,top-degree,p-fitness,0.732,0.274669,0,54.6908,0.410236
250,0.2,10,bot-p,k-fitness,0.851,0.273682,3,45.856,0.348306
250,0.2,10,bot-p,k-fitness,0.847,0.299059,3,45.5754,0.363225
250,0.2,10,bot-p,k-fitness,0.846,0.268051,3,46.9823,0.365777
250,0.2,10,bot-p,k-fitness,0.838,0.271823,3,46.6279,0.363122
250,0.2,10,bot-p,k-fitness,0.832,0.27402,3,45.8185,0.359621
250,0.2,10,bot-p,k-fitness,0.831,0.285342,3,45.1753,0.356654
250,0.2,10,bot-p,k-fitness,0.83,0.281946,3,44.7007,0.360698
250,0.2,10,bot-p,k-fitness,0.823,0.272602,3,46.1708,0.359376
250,0.2,10,bot-p,k-fitness,0.82,0.293899,3,44.9367,0.366808
250,0.2,10,bot-p,k-fitness,0.812,0.305372,3,43.3397,0.366553
300,0.2,10,none,none,0.786,0.384609,4,36.0467,0.387913
300,0.2,10,none,none,0.769,0.391244,3,34.9802,0.390639
300,0.2,10,none,none,0.756,0.330507,4,35.7499,0.396744
300,0.2,10,none,none,0.749,0.385687,5,34.5325,0.391208
300,0.2,10,none,none,0.743,0.318738,3,35.6351,0.414908
300,0.2,10,none,none,0.743,0.402662,7,36.0988,0.399948
300,0.2,10,none,none,0.737,0.341221,2,35.2337,0.399239
300,0.2,10,none,none,0.732,0.428113,6,34.6041,0.395792
300,0.2,10,none,none,0.725,0.327544,3,34.8153,0.392763
300,0.2,10,none,none,0.708,0.394253,5,34.1827,0.399318
250,0.2,10,none,none,0.684,0.459928,11,35.232,0.382788
250,0.2,10,none,none,0.664,0.428235,12,34.0769,0.383191
250,0.2,10,none,none,0.662,0.438956,6,37.1523,0.38925
250,0.2,10,none,none,0.653,0.362844,3,35.3886,0.392028
250,0.2,10,none,none,0.651,0.351048,3,33.5656,0.380932
250,0.2,10,none,none,0.651,0.355574,2,35.0543,0.389369
250,0.2,10,none,none,0.644,0.378619,4,35.3402,0.40379
250,0.2,10,none,none,0.634,0.353167,3,33.0134,0.387709
250,0.2,10,none,none,0.633,0.370967,4,35.1081,0.408367
250,0.2,10,none,none,0.609,0.346426,1,33.1564,0.388146
25,0.2,10,Bot-P,Bot-P,Bot-P,0.196,Bot-P,Bot-P,28.08,0.109857
25,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.203,Top-Degree,Top-Degree,159.84,0.40918
50,0.2,10,Bot-P,Bot-P,Bot-P,0.304,Bot-P,Bot-P,27.72,0.131045
50,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.351,Top-Degree,Top-Degree,129.24,0.390337
400,0.2,10,top-degree,p-fitness,0.986,0.10633,0,39.24,0.400571
400,0.2,10,top-degree,p-fitness,0.984,0.100241,0,39.3381,0.401572
400,0.2,10,top-degree,p-fitness,0.981,0.102354,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.98,0.0996557,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.98,0.102401,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.979,0.101548,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.977,0.100546,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.976,0.0995743,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.975,0.0990186,0,39.3383,0.401575
400,0.2,10,top-degree,p-fitness,0.973,0.100396,0,39.3383,0.401575
400,0.2,10,bot-p,k-fitness,0.979,0.117766,5,38.6,0.406924
400,0.2,10,bot-p,k-fitness,0.975,0.113804,3,38.8265,0.410942
400,0.2,10,bot-p,k-fitness,0.974,0.114082,5,38.7671,0.406895
400,0.2,10,bot-p,k-fitness,0.973,0.116985,2,38.3219,0.390729
400,0.2,10,bot-p,k-fitness,0.972,0.104644,3,38.7508,0.404387
400,0.2,10,bot-p,k-fitness,0.971,0.107956,5,38.7819,0.405973
400,0.2,10,bot-p,k-fitness,0.969,0.0987156,1,37.752,0.402437
400,0.2,10,bot-p,k-fitness,0.968,0.101102,2,37.7494,0.389291
400,0.2,10,bot-p,k-fitness,0.967,0.119051,4,38.3394,0.396662
400,0.2,10,bot-p,k-fitness,0.966,0.0994133,1,38.1758,0.402704
400,0.2,10,none,none,0.903,0.239798,2,34.05,0.397768
400,0.2,10,none,none,0.89,0.251842,2,34.3101,0.401023
400,0.2,10,none,none,0.888,0.300288,5,34.1658,0.392101
400,0.2,10,none,none,0.882,0.281544,2,34.0754,0.397245
400,0.2,10,none,none,0.881,0.239895,2,34.5402,0.401037
400,0.2,10,none,none,0.877,0.227556,2,32.8164,0.40058
400,0.2,10,none,none,0.857,0.246352,2,33.502,0.399151
400,0.2,10,none,none,0.855,0.229979,0,31.7538,0.397706
400,0.2,10,none,none,0.855,0.246088,2,31.8194,0.397866
400,0.2,10,none,none,0.853,0.246878,1,32.6895,0.403466
200,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.701,Top-Degree,Top-Degree,62.81,0.399716
200,0.2,10,Bot-P,Bot-P,Bot-P,0.686,Bot-P,Bot-P,32.99,0.225928
100,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.52,Top-Degree,Top-Degree,95.12,0.397485
100,0.2,10,Bot-P,Bot-P,Bot-P,0.473,Bot-P,Bot-P,29.88,0.166166
400,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.986,Top-Degree,Top-Degree,39.24,0.400571
400,0.2,10,Bot-P,Bot-P,Bot-P,0.931,Bot-P,Bot-P,32.98,0.34074
300,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.928,Top-Degree,Top-Degree,48.26,0.399345
300,0.2,10,Bot-P,Bot-P,Bot-P,0.823,Bot-P,Bot-P,34.0133,0.28372
250,0.2,10,Top-Degree,Top-Degree,Top-Degree,0.756,Top-Degree,Top-Degree,54.472,0.408596
250,0.2,10,Bot-P,Bot-P,Bot-P,0.753,Bot-P,Bot-P,33.576,0.254821
