greedy_simpath_t0.01_features,greedy_simpath_t0.01_spread,greedy_simpath_t0.01_time
0,97.2335,0
448,98.6787,0.0400755
29458819,99.5071,0.0791718
69273673,100.134,0.118004
9041277,100.76,0.155497
1513304,101.387,0.192788
28836942,102.014,0.230495
1711,102.64,0.271896
48970972,103.267,0.308429
64831419,103.893,0.348018
44781847,104.406,0.385898
11305909,104.906,0.424928
932,105.3,0.463692
8828301,105.713,0.505849
90983046,106.087,0.546063
2295629,106.461,0.586778
23390361,106.835,0.629039
20894983,107.209,0.668606
27045802,107.583,0.709949
25388481,107.956,0.750125
8779055,108.33,0.789697
34161355,108.704,0.829123
32358583,109.077,0.87155
1016424,109.451,0.910805
1991,109.809,0.951047
258,110.206,0.992948
84875903,110.545,1.03523
60929052,110.872,1.07891
29773549,111.196,1.12186
7921086,111.61,1.16728
429039,111.895,1.21203
598398,112.167,1.25566
40835481,112.417,1.29964
27985352,112.637,1.3426
41588298,112.864,1.38648
630211,113.091,1.43054
58802848,113.317,1.47728
39482285,113.544,1.52019
563289,113.77,1.56355
785647,113.997,1.60742
366,114.285,1.65346
7602563,114.572,1.70706
606161,114.768,1.76321
55442956,115.021,1.81739
20191714,115.301,1.87383
18403220,115.498,1.93605
18694853,115.694,1.99629
30767675,115.891,2.05765
6904,116.087,2.11822
20844846,116.284,2.17852
496248,116.48,2.2389
267352,116.677,2.30168
28481833,116.874,2.36308
74005614,117.072,2.42406
33217169,117.269,2.48453
74682016,117.453,2.54625
728490,117.645,2.60707
25362950,117.845,2.67076
23108006,118.133,2.73166
4717720,118.324,2.79396
11437387,118.504,2.85661
