greedy_mc_i1000_features,greedy_mc_i1000_spread,greedy_mc_i1000_time
0,97.2335,0
448,98.6787,52.3844
29458819,99.5071,103.805
58802848,100.134,155.423
28836942,100.76,207.463
41588298,101.388,259.626
1711,102.015,311.247
64831419,102.641,362.094
1513304,103.268,412.908
48970972,103.895,463.649
44781847,104.407,514.359
11305909,104.908,564.82
25388481,105.281,618.906
84875903,105.62,672.44
1016424,105.994,730.167
29773549,106.318,784.151
32148366,106.692,837.709
7921086,107.105,891.19
932,107.499,944.573
23390361,107.873,996.624
90983046,108.246,1048.35
1991,108.605,1100.17
20894983,108.978,1152.11
8779055,109.352,1204.22
258,109.749,1258.17
27045802,110.122,1309.63
34161355,110.496,1360.93
8828301,110.909,1412.11
366,111.197,1463.5
20535,111.524,1515.94
32358583,111.898,1567.94
598398,112.17,1619.82
69273673,112.396,1671.82
40835481,112.647,1723.64
7602563,112.934,1776.23
30007037,113.16,1830.73
8030023,113.361,1884.94
19703812,113.361,1940.11
728490,113.509,1995.27
605353,113.729,2050.74
35502680,113.902,2106.24
23108006,114.104,2161.43
563289,114.389,2216.81
28481833,114.586,2272.08
29698527,114.586,2327.36
785647,114.87,2382.81
18694853,115.067,2438.71
1945409,115.262,2494.52
74005614,115.463,2550.42
56385830,115.567,2606.17
180612,115.567,2661.69
13315670,115.764,2717.46
25362950,116.066,2773.15
8589078,116.196,2828.76
4717720,116.386,2884.97
18403220,116.583,2939.26
27985352,116.744,2992.98
55442956,116.997,3046.83
3907773,116.997,3100.83
6904,117.193,3154.75
630211,117.42,3210.07
