k,p,mutation-rate,trials,k-init,weighted-init,probability,sim-time(seconds),mutations
300,1,0.2,10,true,false,0.898,0.0193593,0
300,1,0.2,10,true,false,0.897,0.0194548,0
300,1,0.2,10,true,false,0.896,0.0197298,0
300,1,0.2,10,true,false,0.89,0.0195495,0
300,1,0.2,10,true,false,0.89,0.0201075,0
300,1,0.2,10,true,false,0.886,0.0199473,0
300,1,0.2,10,true,false,0.884,0.0203786,0
300,1,0.2,10,true,false,0.883,0.019515,0
400,1,0.2,10,true,false,0.983,0.0146051,0
400,1,0.2,10,true,false,0.98,0.0148408,0
400,1,0.2,10,true,false,0.977,0.0149199,0
400,1,0.2,10,true,false,0.976,0.0145809,0
400,1,0.2,10,true,false,0.973,0.0149516,0
400,1,0.2,10,true,false,0.972,0.0150822,0
400,1,0.2,10,true,false,0.971,0.0152374,0
400,1,0.2,10,true,false,0.97,0.0146308,0
400,1,0.2,10,true,false,0.97,0.0154372,0
400,1,0.2,10,true,false,0.967,0.0148742,0
25,1,0.2,10,false,true,0.153,0.0160144,1
25,1,0.2,10,false,true,0.148,0.014549,1
25,1,0.2,10,false,true,0.144,0.0136676,0
25,1,0.2,10,false,true,0.143,0.0139565,0
25,1,0.2,10,false,true,0.139,0.0171724,2
25,1,0.2,10,false,true,0.132,0.0127225,0
25,1,0.2,10,false,true,0.125,0.0165013,2
25,1,0.2,10,false,true,0.118,0.0125841,1
25,1,0.2,10,false,true,0.116,0.0122962,1
25,1,0.2,10,false,true,0.102,0.0123637,1
50,1,0.2,10,false,true,0.25,0.0213893,0
50,1,0.2,10,false,true,0.249,0.0234152,1
50,1,0.2,10,false,true,0.24,0.0207353,0
50,1,0.2,10,false,true,0.237,0.022881,1
50,1,0.2,10,false,true,0.234,0.0230389,1
50,1,0.2,10,false,true,0.218,0.0228424,1
50,1,0.2,10,false,true,0.216,0.0213638,1
50,1,0.2,10,false,true,0.215,0.0197334,0
50,1,0.2,10,false,true,0.211,0.0177276,0
50,1,0.2,10,false,true,0.205,0.0203245,1
100,1,0.2,10,false,true,0.408,0.0258919,0
100,1,0.2,10,false,true,0.406,0.0270844,0
100,1,0.2,10,false,true,0.405,0.0259977,0
100,1,0.2,10,false,true,0.401,0.0256603,0
100,1,0.2,10,false,true,0.386,0.0266485,0
100,1,0.2,10,false,true,0.381,0.0259836,0
100,1,0.2,10,false,true,0.375,0.0261393,0
100,1,0.2,10,false,true,0.366,0.0272945,1
100,1,0.2,10,false,true,0.355,0.0248144,0
100,1,0.2,10,false,true,0.347,0.0293636,1
200,1,0.2,10,false,true,0.654,0.0272727,0
200,1,0.2,10,false,true,0.653,0.0271644,0
200,1,0.2,10,false,true,0.651,0.0272892,0
200,1,0.2,10,false,true,0.65,0.0273128,0
200,1,0.2,10,false,true,0.64,0.0278928,0
200,1,0.2,10,false,true,0.635,0.0271311,0
200,1,0.2,10,false,true,0.621,0.0276757,0
200,1,0.2,10,false,true,0.613,0.0273716,0
200,1,0.2,10,false,true,0.612,0.0274406,0
200,1,0.2,10,false,true,0.608,0.0276659,0
250,1,0.2,10,false,true,0.776,0.024073,0
