greedy_simpath_t0.0001_features,greedy_simpath_t0.0001_spread,greedy_simpath_t0.0001_time
0,97.2335,0
448,98.6787,0.135121
29458819,99.5071,0.270445
41588298,100.135,0.398079
1513304,100.762,0.528863
69273673,101.388,0.66181
28836942,102.015,0.791043
1711,102.641,0.922096
48970972,103.268,1.05126
64831419,103.895,1.17955
44781847,104.407,1.3109
40835481,104.908,1.44247
932,105.302,1.57816
8828301,105.715,1.71867
2295629,106.09,1.86713
23390361,106.464,2.01336
32358583,106.838,2.16379
90983046,107.211,2.31335
34161355,107.585,2.46875
1016424,107.959,2.62063
20894983,108.332,2.77304
27045802,108.706,2.92246
25388481,109.08,3.07155
8779055,109.453,3.22419
1991,109.811,3.37501
258,110.208,3.5279
84875903,110.547,3.6874
35502680,110.876,3.84275
29773549,111.2,4.00645
7921086,111.613,4.17252
429039,111.898,4.33406
366,112.186,4.49542
7602563,112.473,4.71445
20191714,112.754,4.98743
598398,113.026,5.31876
11305909,113.275,5.65572
785647,113.502,5.99555
39482285,113.729,6.34247
9041277,113.955,6.69292
630211,114.182,7.03877
58802848,114.408,7.38007
563289,114.635,7.71666
27985352,114.854,8.05697
8030023,115.064,8.3926
25362950,115.279,8.91858
23108006,115.567,9.45346
23830580,115.781,9.98832
728490,115.986,10.5394
74005614,116.188,11.1013
13315670,116.385,11.6671
267352,116.582,12.2362
33217169,116.779,12.8051
18403220,116.976,13.3749
18694853,117.172,13.943
6904,117.369,14.5226
20844846,117.565,15.0995
28481833,117.762,15.6721
23820213,117.963,16.2426
55442956,118.159,16.9855
68616538,118.412,17.728
4717720,118.602,18.4766
